case_id,tool_id,model,mutation_operator,oracle_detected,status,failure_class,initial_bpr,final_bpr,delta_bpr,complete_repair,effective_repair,regression,patch_parse_failures,patch_validation_failures,patch_application_failures,iterations_completed,runtime_seconds
case_000001,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,missing_transition,True,completed,complete_repair,0.9545454545454546,1.0,0.045454545455,True,True,False,0,0,0,1,1.8039
case_000002,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_target,True,completed,no_improvement,0.9868421052631579,0.9868421052631579,0.0,False,False,False,0,1,0,1,2.2437
case_000003,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_source,True,completed,no_improvement,0.9959016393442623,0.9959016393442623,0.0,False,False,False,0,1,0,1,12.0462
case_000004,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_event,True,completed,no_improvement,0.9988023952095808,0.9988023952095808,0.0,False,False,False,1,1,0,1,12.3389
case_000005,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_initial_state,True,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,0,0,1,1.0686
case_000008,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_flip,True,completed,no_improvement,0.9856584093872229,0.9856584093872229,0.0,False,False,False,1,1,0,1,8.1611
case_000009,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_weaken,True,completed,effective_repair,0.7916666666666666,0.9166666666666666,0.125,False,True,False,0,0,0,1,1.7108
case_000010,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_strengthen,True,completed,no_improvement,0.9135802469135802,0.9135802469135802,0.0,False,False,False,0,1,0,1,2.7689
case_000020,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,missing_transition,True,completed,no_improvement,0.925700365408039,0.925700365408039,0.0,False,False,False,1,1,0,1,10.7526
case_000021,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_target,True,completed,complete_repair,0.9615384615384616,1.0,0.038461538462,True,True,False,0,0,0,1,1.1896
case_000022,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_source,True,completed,no_improvement,0.9066666666666666,0.9066666666666666,0.0,False,False,False,1,1,0,1,2.1201
case_000023,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_event,True,completed,no_improvement,0.9958677685950413,0.9958677685950413,0.0,False,False,False,1,1,0,1,9.6811
case_000024,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_initial_state,True,completed,no_improvement,0.0,0.0,0.0,False,False,False,1,1,0,1,11.369
case_000027,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_flip,True,completed,no_improvement,0.5474137931034483,0.5474137931034483,0.0,False,False,False,0,1,0,1,12.9059
case_000028,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_weaken,True,completed,no_improvement,0.9987546699875467,0.9987546699875467,0.0,False,False,False,1,1,0,1,10.6783
case_000029,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_strengthen,True,completed,no_improvement,0.9545454545454546,0.9545454545454546,0.0,False,False,False,0,0,0,1,1.1232
case_000039,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,missing_transition,True,completed,regression,0.99609375,0.9921875,-0.00390625,False,False,True,0,0,0,1,8.8942
case_000040,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_target,True,completed,no_improvement,0.9859514687100894,0.9859514687100894,0.0,False,False,False,1,1,0,1,7.6745
case_000041,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_source,True,completed,no_improvement,0.7727272727272727,0.7727272727272727,0.0,False,False,False,0,1,0,1,1.1103
case_000042,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_event,True,completed,no_improvement,0.9876543209876543,0.9876543209876543,0.0,False,False,False,0,1,0,1,2.1257
case_000043,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_initial_state,True,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,1,0,1,6.7471
case_000046,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_flip,True,completed,complete_repair,0.9871794871794872,1.0,0.012820512821,True,True,False,0,0,0,1,2.059
case_000047,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_weaken,True,completed,regression,0.996,0.992,-0.004,False,False,True,0,0,0,1,7.3601
case_000048,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_strengthen,True,completed,no_improvement,0.9988700564971752,0.9988700564971752,0.0,False,False,False,1,1,0,1,10.4406
case_000058,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,missing_transition,True,completed,complete_repair,0.9879518072289156,1.0,0.012048192771,True,True,False,0,0,0,1,2.6855
