case_id,tool_id,model,mutation_operator,oracle_detected,status,failure_class,initial_bpr,final_bpr,delta_bpr,complete_repair,effective_repair,regression,patch_parse_failures,patch_validation_failures,patch_application_failures,iterations_completed,runtime_seconds
case_000001,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,missing_transition,True,completed,complete_repair,0.9545454545454546,1.0,0.045454545455,True,True,False,0,0,0,1,0.9669
case_000002,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_target,True,completed,no_improvement,0.9868421052631579,0.9868421052631579,0.0,False,False,False,0,1,0,1,2.0655
case_000003,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_source,True,completed,no_improvement,0.9959016393442623,0.9959016393442623,0.0,False,False,False,0,1,0,1,11.722
case_000004,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_event,True,completed,no_improvement,0.9988023952095808,0.9988023952095808,0.0,False,False,False,1,1,0,1,12.1057
case_000005,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_initial_state,True,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,0,0,1,1.0286
case_000008,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_flip,True,completed,no_improvement,0.9856584093872229,0.9856584093872229,0.0,False,False,False,1,1,0,1,7.9937
case_000009,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_weaken,True,completed,effective_repair,0.7916666666666666,0.9166666666666666,0.125,False,True,False,0,0,0,1,1.6929
case_000010,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_strengthen,True,completed,no_improvement,0.9135802469135802,0.9135802469135802,0.0,False,False,False,0,1,0,1,2.7824
case_000020,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,missing_transition,True,completed,no_improvement,0.925700365408039,0.925700365408039,0.0,False,False,False,1,1,0,1,10.5762
case_000021,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_target,True,completed,complete_repair,0.9615384615384616,1.0,0.038461538462,True,True,False,0,0,0,1,4.9481
case_000022,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_source,True,completed,no_improvement,0.9066666666666666,0.9066666666666666,0.0,False,False,False,1,1,0,1,2.0735
case_000023,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_event,True,completed,no_improvement,0.9958677685950413,0.9958677685950413,0.0,False,False,False,1,1,0,1,9.3896
case_000024,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_initial_state,True,completed,no_improvement,0.0,0.0,0.0,False,False,False,1,1,0,1,11.3042
case_000027,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_flip,True,completed,no_improvement,0.5474137931034483,0.5474137931034483,0.0,False,False,False,0,1,0,1,12.7164
case_000028,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_weaken,True,completed,no_improvement,0.9987546699875467,0.9987546699875467,0.0,False,False,False,1,1,0,1,10.6541
case_000029,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_strengthen,True,completed,no_improvement,0.9545454545454546,0.9545454545454546,0.0,False,False,False,0,0,0,1,1.1031
case_000039,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,missing_transition,True,completed,regression,0.99609375,0.9921875,-0.00390625,False,False,True,0,0,0,1,8.9483
case_000040,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_target,True,completed,no_improvement,0.9859514687100894,0.9859514687100894,0.0,False,False,False,1,1,0,1,7.7023
case_000041,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_source,True,completed,no_improvement,0.7727272727272727,0.7727272727272727,0.0,False,False,False,0,1,0,1,1.1405
case_000042,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_event,True,completed,no_improvement,0.9876543209876543,0.9876543209876543,0.0,False,False,False,0,1,0,1,2.1659
case_000043,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_initial_state,True,completed,no_improvement,0.0,0.0,0.0,False,False,False,0,1,0,1,6.8992
case_000046,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_flip,True,completed,complete_repair,0.9871794871794872,1.0,0.012820512821,True,True,False,0,0,0,1,2.0465
case_000047,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_weaken,True,completed,regression,0.996,0.992,-0.004,False,False,True,0,0,0,1,7.298
case_000048,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_strengthen,True,completed,no_improvement,0.9988700564971752,0.9988700564971752,0.0,False,False,False,1,1,0,1,10.2931
case_000058,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,missing_transition,True,completed,complete_repair,0.9879518072289156,1.0,0.012048192771,True,True,False,0,0,0,1,2.5757
case_000059,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_target,True,completed,no_improvement,0.9959514170040485,0.9959514170040485,0.0,False,False,False,1,1,0,1,9.5986
case_000060,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_source,True,completed,no_improvement,0.9871345029239766,0.9871345029239766,0.0,False,False,False,1,1,0,1,7.7253
case_000061,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_event,True,completed,no_improvement,0.7727272727272727,0.7727272727272727,0.0,False,False,False,0,1,0,1,1.1645
case_000062,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_initial_state,True,completed,complete_repair,0.0,1.0,1.0,True,True,False,0,0,0,1,2.3247
case_000065,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_flip,True,completed,complete_repair,0.9545454545454546,1.0,0.045454545455,True,True,False,0,0,0,1,1.1209
case_000066,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_weaken,True,completed,no_improvement,0.9871794871794872,0.9871794871794872,0.0,False,False,False,0,1,0,1,2.2044
case_000067,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_strengthen,True,completed,no_improvement,0.9957627118644068,0.9957627118644068,0.0,False,False,False,0,1,0,1,9.0871
case_000074,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_inter_class,True,completed,no_improvement,0.9888888888888889,0.9888888888888889,0.0,False,False,False,0,0,0,1,2.4279
case_000077,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,missing_transition,True,completed,complete_repair,0.9583333333333334,1.0,0.041666666667,True,True,False,0,0,0,1,1.5194
case_000078,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_target,True,completed,complete_repair,0.9066666666666666,1.0,0.093333333333,True,True,False,0,0,0,1,2.2009
case_000079,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_source,True,completed,no_improvement,0.9914529914529915,0.9914529914529915,0.0,False,False,False,1,1,0,1,8.5059
case_000080,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_event,True,completed,no_improvement,0.9987608426270136,0.9987608426270136,0.0,False,False,False,1,1,0,1,11.4266
case_000081,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_initial_state,True,completed,effective_repair,0.0,0.6666666666666666,0.666666666667,False,True,False,0,0,0,1,2.4215
case_000084,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_flip,True,completed,no_improvement,0.9863523573200993,0.9863523573200993,0.0,False,False,False,1,1,0,1,11.0483
case_000085,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_weaken,True,completed,complete_repair,0.9583333333333334,1.0,0.041666666667,True,True,False,0,0,0,1,1.1493
case_000086,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_strengthen,True,completed,no_improvement,0.9885057471264368,0.9885057471264368,0.0,False,False,False,0,0,0,1,2.3818
case_000096,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,missing_transition,True,completed,no_improvement,0.998876404494382,0.998876404494382,0.0,False,False,False,1,1,0,1,8.1595
case_000097,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_target,True,completed,complete_repair,0.7916666666666666,1.0,0.208333333333,True,True,False,0,0,0,1,1.1746
case_000098,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_source,True,completed,no_improvement,0.9880952380952381,0.9880952380952381,0.0,False,False,False,1,1,0,1,6.1043
case_000099,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_event,True,completed,no_improvement,0.9956140350877193,0.9956140350877193,0.0,False,False,False,1,1,0,1,13.1179
case_000100,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_initial_state,True,completed,no_improvement,0.0,0.0,0.0,False,False,False,1,1,0,1,13.5979
case_000103,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_flip,True,completed,regression,0.9957627118644068,0.9872881355932204,-0.008474576271,False,False,True,0,0,0,1,7.8043
case_000104,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_weaken,True,completed,regression,0.9695906432748538,0.968421052631579,-0.001169590643,False,False,True,0,0,0,1,7.9208
case_000105,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,guard_strengthen,True,completed,no_improvement,0.9545454545454546,0.9545454545454546,0.0,False,False,False,0,0,0,1,1.1809
case_000115,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,missing_transition,True,completed,regression,0.9954954954954955,0.990990990990991,-0.004504504505,False,False,True,0,0,0,1,11.7712
case_000116,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_target,True,completed,no_improvement,0.9988674971687429,0.9988674971687429,0.0,False,False,False,1,1,0,1,8.388
case_000117,baseline_openweight_llm_qwen25_coder_7b,qwen2.5-coder:7b,wrong_source,True,completed,no_improvement,0.7727272727272727,0.7727272727272727,0.0,False,False,False,0,0,0,1,1.1727
