case_id,oracle_depth,mutation_operator,size_class,reference_bpr,faulty_bpr,bpr_delta,fault_detected,oracle_state_coverage,oracle_transition_coverage,oracle_event_coverage,scenario_count,max_scenario_steps,scenario_policy,declared_max_depth,observed_max_executed_depth,mean_scenario_length,median_scenario_length,max_scenario_length
case_000011,shallow,action_corruption,large,1.0,1.0,0.0,False,1.0,1.0,1.0,82,5,depth-forced,5,5,4.060976,4.0,5
case_000030,shallow,action_corruption,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,30,5,depth-forced,5,5,4.033333,4.0,5
case_000049,shallow,action_corruption,small,1.0,1.0,0.0,False,1.0,1.0,1.0,10,5,depth-forced,5,5,3.9,4.0,5
case_000068,shallow,action_corruption,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,241,5,depth-forced,5,5,4.182573,4,5
case_000075,shallow,action_full_mutation,large,1.0,1.0,0.0,False,1.0,1.0,1.0,77,5,depth-forced,5,5,4.181818,4,5
case_000018,shallow,action_full_mutation,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,29,5,depth-forced,5,5,4.034483,4,5
case_000037,shallow,action_full_mutation,small,1.0,1.0,0.0,False,1.0,1.0,1.0,9,5,depth-forced,5,5,4.111111,4,5
case_000056,shallow,action_full_mutation,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,238,5,depth-forced,5,5,4.252101,4.0,5
case_000007,shallow,dead_state_intro,large,1.0,1.0,0.0,False,1.0,1.0,1.0,75,5,depth-forced,5,5,4.133333,4,5
case_000026,shallow,dead_state_intro,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,26,5,depth-forced,5,5,4.230769,4.0,5
case_000045,shallow,dead_state_intro,small,1.0,1.0,0.0,False,1.0,1.0,1.0,9,5,depth-forced,5,5,4,4,5
case_000064,shallow,dead_state_intro,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,231,6,depth-forced,5,6,4.316017,4,6
case_000051,shallow,delay_corruption,large,1.0,1.0,0.0,False,1.0,1.0,1.0,75,5,depth-forced,5,5,4.133333,4,5
case_000070,shallow,delay_corruption,medium,1.0,1.0,0.0,False,1.0,1.0,1.0,26,5,depth-forced,5,5,4.115385,4.0,5
case_000013,shallow,delay_corruption,small,1.0,1.0,0.0,False,1.0,1.0,1.0,10,5,depth-forced,5,5,4,4.0,5
case_000032,shallow,delay_corruption,very_large,1.0,1.0,0.0,False,1.0,1.0,1.0,238,5,depth-forced,5,5,4.222689,4.0,5
